Startup Name,Rank 1,Cosine Similarity 1,Rank 2,Cosine Similarity 2,Rank 3,Cosine Similarity 3,Rank 4,Cosine Similarity 4,Rank 5,Cosine Similarity 5,Rank 6,Cosine Similarity 6,Rank 7,Cosine Similarity 7,Rank 8,Cosine Similarity 8,Rank 9,Cosine Similarity 9,Rank 10,Cosine Similarity 10
Smash Inte,Eliana Scott,0.9409388150451315,Avery Wong,0.9244862339418405,Bella Martinez,0.8839122201939115,Leo Evans,0.7983723279170813,Benjamin Parker,0.7983723279170813,Jane Smith,0.7969708913291729,Daniel Kim,0.7698590304914714,Adam Lee,0.7698590304914714,Erica Li,0.7698590304914714,Mia Allen,0.7698590304914714
Task Inte,Eliana Scott,0.9260023298894178,Bella Martinez,0.8698809765627863,Avery Wong,0.8470653369365141,Eva Flores,0.845320607304624,Mia Allen,0.8418202998994706,Jane Smith,0.8156925466796062,Emily Chen,0.813759623236155,Daniel Kim,0.813759623236155,Adam Lee,0.813759623236155,Erica Li,0.813759623236155
Chase Inte,Mia Allen,0.9135956653307803,Eliana Scott,0.9135956653307803,Jane Smith,0.871220563782859,Bella Martinez,0.8598547438407345,Eva Flores,0.8339949239010148,Avery Wong,0.811136386970248,Stella Nguyen,0.811136386970248,Emily Chen,0.7792433616056655,Erica Li,0.7792433616056655,Sofia Davis,0.7792433616056655
Enigma Inte,Oscar Green,0.9539590550898288,Liam Turner,0.8883363181483769,Isaac Rivera,0.8616404368553292,Ethan Mitchell,0.8000946913656629,Lila Harper,0.8000946913656629,Milo Baker,0.8000946913656629,Mason Perez,0.8000946913656629,Daniel Kim,0.7706746355884524,Catherine Kim,0.7693218186208297,Nicholas Hill,0.7156264473321344
Redux Tech,Isaac Rivera,0.8977310580745099,Oscar Green,0.8720815992723812,Daniel Kim,0.8029550685469663,Lucas Tan,0.7800134951599101,Liam Turner,0.7700535410868201,Alyssa Nguyen,0.7694837640638656,Linda Wang,0.7570719217728539,Jonathan Chen,0.7570719217728539,William Park,0.7438343052617369,Milo Baker,0.7438343052617369
Condition Inte,Eliana Scott,0.9296696802013682,Avery Wong,0.8819171036881968,Bella Martinez,0.8733260632194672,Eva Flores,0.7972339748041415,Sofia Davis,0.7888106377466154,Daniel Kim,0.7888106377466154,Leo Evans,0.7888106377466154,Adam Lee,0.7888106377466154,Benjamin Parker,0.7888106377466154,Erica Li,0.7888106377466154
Techx,Isaac Rivera,0.9101913402477905,Oscar Green,0.8808303292720553,Daniel Kim,0.81409988373028,Liam Turner,0.8136762043449727,Alyssa Nguyen,0.7927472963448499,Lila Harper,0.7633862853691146,Ethan Mitchell,0.7633862853691146,Milo Baker,0.7633862853691145,Lucas Tan,0.7615773105863909,William Park,0.7340252743933794
Automate Inte,Oscar Green,0.9379366108168787,Liam Turner,0.9138115486202572,Isaac Rivera,0.9086260917288512,Ethan Mitchell,0.8500050535527963,Lila Harper,0.8500050535527963,Daniel Kim,0.8126998828942683,Catherine Kim,0.7913840153767414,Milo Baker,0.7620734962887138,Leo Evans,0.7602676323849605,Benjamin Parker,0.7602676323849605
Techadora,Isaac Rivera,0.9320546490018,Oscar Green,0.9009861607017402,Liam Turner,0.896870004167719,Lila Harper,0.8388491841016201,Ethan Mitchell,0.8388491841016201,Daniel Kim,0.8336550215650925,Alyssa Nguyen,0.7767122075015,Catherine Kim,0.7767122075015,Benjamin Parker,0.7502895194085833,Leo Evans,0.7502895194085833
Stride Inte,Mia Allen,0.9005389853498965,Bella Martinez,0.9005389853498965,Eliana Scott,0.9005389853498965,Jane Smith,0.8444407432001203,Avery Wong,0.8444407432001203,Stella Nguyen,0.8444407432001203,Eva Flores,0.8220758603149213,Daniel Kim,0.7552907619063648,Sofia Davis,0.7552907619063648,Adam Lee,0.7552907619063648
Akimbo Tech,Isaac Rivera,0.9126078160615323,Oscar Green,0.8857664097067812,Liam Turner,0.836832231954554,Lila Harper,0.8320835969972794,Ethan Mitchell,0.8320835969972794,Daniel Kim,0.8162612454044843,Alyssa Nguyen,0.8052421906425284,Milo Baker,0.7784007842877775,Benjamin Parker,0.7442381943393827,Leo Evans,0.7442381943393827
Thinierd,Oscar Green,0.9320953024731764,Liam Turner,0.8907235428302467,Isaac Rivera,0.8678128678198538,Ethan Mitchell,0.8356716504931926,Lila Harper,0.8356716504931926,Milo Baker,0.8035304331665313,Mason Perez,0.8035304331665313,Daniel Kim,0.7761954256776931,Catherine Kim,0.7713892158398701,Nicholas Hill,0.7474474469488898
Ping Inte,Eliana Scott,0.9096742072433306,Mia Allen,0.8857354123158746,Bella Martinez,0.8378578224609625,Jane Smith,0.8296959777368933,Eva Flores,0.8085621088442396,Benjamin Parker,0.7899802326060503,Leo Evans,0.7899802326060503,Avery Wong,0.7761672049796744,Grace Kim,0.7761672049796743,Natalie Chen,0.7761672049796743
Internetnest,Bella Martinez,0.9349014023169375,Eliana Scott,0.9136536431733707,Mia Allen,0.892405884029804,Avery Wong,0.8552058086620439,Stella Nguyen,0.8314500917547649,Eva Flores,0.8146513885557717,Jane Smith,0.8076943748474859,Leo Evans,0.7436715700248366,Benjamin Parker,0.7436715700248366,Rebecca Wang,0.7436715700248366
Lock Tech,Isaac Rivera,0.8863184218031274,Oscar Green,0.8534918135881967,Alyssa Nguyen,0.820665205373266,Liam Turner,0.7960029457578487,Daniel Kim,0.7927472963448499,William Park,0.7878385971583355,Milo Baker,0.7878385971583355,Lila Harper,0.7878385971583354,Ethan Mitchell,0.7878385971583354,Lucas Tan,0.7633862853691146
Blast Tech,Oscar Green,0.9191759833942819,Ethan Mitchell,0.833003234951068,Lila Harper,0.833003234951068,Isaac Rivera,0.833003234951068,Milo Baker,0.8330032349510679,Liam Turner,0.8291976585083244,Mason Perez,0.8042789854699964,Ian Lee,0.7505040477123114,Alyssa Nguyen,0.746830486507854,Daniel Kim,0.7450607435311266
Techsio,Oscar Green,0.8365989185453491,Isaac Rivera,0.8365989185453491,Ethan Mitchell,0.8139881369630423,Milo Baker,0.8139881369630423,William Park,0.8139881369630423,Lila Harper,0.8139881369630423,Alyssa Nguyen,0.8139881369630423,Daniel Kim,0.748276820708084,Lucas Tan,0.748276820708084,Liam Turner,0.7310430866554269
Internetdo,Bella Martinez,0.9070788404499484,Eliana Scott,0.9070788404499484,Mia Allen,0.8832083446486338,Eva Flores,0.8498365855987975,Avery Wong,0.8273287946596168,Jane Smith,0.8006407690254358,Stella Nguyen,0.8006407690254358,Olivia Phillips,0.7704169392017073,Erica Li,0.7638558656420618,Emily Chen,0.7638558656420618
Infinity Tech,Isaac Rivera,0.866578244826242,Ethan Mitchell,0.866578244826242,Oscar Green,0.866578244826242,Lila Harper,0.866578244826242,Alyssa Nguyen,0.8356290217967335,Milo Baker,0.8356290217967335,Liam Turner,0.8219529433756427,Benjamin Parker,0.775091145301573,Leo Evans,0.775091145301573,Daniel Kim,0.775091145301573
Elevate Inte,Eliana Scott,0.8886345489020485,Mia Allen,0.8579919782502538,Bella Martinez,0.827349407598459,Jane Smith,0.822226451793038,Eva Flores,0.8112086463534662,Natalie Chen,0.7879670163016615,Lena Park,0.7879670163016615,Grace Kim,0.7879670163016615,Avery Wong,0.7879670163016614,Adam Lee,0.7660642662948695
Grow Inte,Eliana Scott,0.917596047990961,Mia Allen,0.8934487835701462,Bella Martinez,0.8693015191493314,Jane Smith,0.8369213330918606,Eva Flores,0.8156034212282003,Avery Wong,0.8099238707340585,Stella Nguyen,0.7829264083762566,Leo Evans,0.7727124614660724,Benjamin Parker,0.7727124614660724,Natalie Chen,0.7559289460184545
Logic Tech,Isaac Rivera,0.8589556903873334,Oscar Green,0.8589556903873334,Liam Turner,0.8565861529340607,Ethan Mitchell,0.8199122499151816,Lila Harper,0.8199122499151816,Alyssa Nguyen,0.7808688094430303,Milo Baker,0.7808688094430303,Daniel Kim,0.768273325346536,Mason Perez,0.7418253689708788,Catherine Kim,0.7418253689708787
Novus Inte,Bella Martinez,0.9349014023169375,Eliana Scott,0.9136536431733707,Mia Allen,0.892405884029804,Avery Wong,0.8552058086620439,Stella Nguyen,0.8314500917547649,Eva Flores,0.8146513885557717,Jane Smith,0.8076943748474859,Leo Evans,0.7436715700248366,Benjamin Parker,0.7436715700248366,Rebecca Wang,0.7436715700248366
Choco2022,Isaac Rivera,0.9126078160615323,Oscar Green,0.8857664097067812,Liam Turner,0.836832231954554,Lila Harper,0.8320835969972794,Ethan Mitchell,0.8320835969972794,Daniel Kim,0.8162612454044843,Alyssa Nguyen,0.8052421906425284,Milo Baker,0.7784007842877775,Benjamin Parker,0.7442381943393827,Leo Evans,0.7442381943393827
Omo Tech,Oscar Green,0.9320953024731764,Liam Turner,0.8907235428302467,Isaac Rivera,0.8678128678198538,Ethan Mitchell,0.8356716504931926,Lila Harper,0.8356716504931926,Milo Baker,0.8035304331665313,Mason Perez,0.8035304331665313,Daniel Kim,0.7761954256776931,Catherine Kim,0.7713892158398701,Nicholas Hill,0.7474474469488898
Thief Tech,Ethan Mitchell,0.8832247504941122,Lila Harper,0.8832247504941122,Oscar Green,0.8564603641155029,Milo Baker,0.8564603641155029,Alyssa Nguyen,0.8296959777368933,Isaac Rivera,0.8296959777368933,Liam Turner,0.803526135380037,Leo Evans,0.7899802326060503,Benjamin Parker,0.7899802326060503,Ian Lee,0.7648560489067132
Auto Tech,Ethan Mitchell,0.8314500917547649,Lila Harper,0.8314500917547649,William Park,0.8314500917547649,Oscar Green,0.8076943748474859,Alyssa Nguyen,0.8076943748474859,Milo Baker,0.8076943748474859,Isaac Rivera,0.8076943748474859,Leo Evans,0.7436715700248366,Rebecca Wang,0.7436715700248366,Lisa Wong,0.7436715700248366
Search Inte,Mia Allen,0.8808303292720553,Eliana Scott,0.8808303292720553,Eva Flores,0.8576900278702361,Bella Martinez,0.8514693182963202,Jane Smith,0.820665205373266,Sofia Davis,0.7927472963448499,Emily Chen,0.7927472963448499,Adam Lee,0.7927472963448499,Daniel Kim,0.7927472963448499,Erica Li,0.7927472963448499
Secure Inte,Mia Allen,0.8478277426388682,Eliana Scott,0.8478277426388682,Eva Flores,0.8443170536763505,Bella Martinez,0.8221359928619326,Grace Kim,0.8042789854699964,Lena Park,0.8042789854699964,Natalie Chen,0.8042789854699964,Olivia Phillips,0.7960297521679914,Ian Lee,0.7505040477123114,Jane Smith,0.746830486507854
Deliver Inte,Mia Allen,0.9100664035638859,Bella Martinez,0.9100664035638859,Eliana Scott,0.9100664035638859,Eva Flores,0.8492347892866241,Jane Smith,0.8139881369630423,Avery Wong,0.8139881369630423,Stella Nguyen,0.8139881369630423,Daniel Kim,0.748276820708084,Adam Lee,0.748276820708084,Sofia Davis,0.748276820708084
Hiiiooo!,Isaac Rivera,0.8540168202937982,Oscar Green,0.8540168202937982,Lila Harper,0.8273287946596168,Ethan Mitchell,0.8273287946596168,Milo Baker,0.8006407690254358,William Park,0.8006407690254358,Alyssa Nguyen,0.8006407690254358,Liam Turner,0.7704169392017073,Lucas Tan,0.7638558656420618,Daniel Kim,0.7638558656420618
Programmatic Inte,Oscar Green,0.9086260917288511,Isaac Rivera,0.8793155726408237,Ethan Mitchell,0.8500050535527964,Lila Harper,0.8500050535527964,Liam Turner,0.8461218042780159,Milo Baker,0.8206945344647688,Alyssa Nguyen,0.7913840153767414,Daniel Kim,0.7864837576396144,Leo Evans,0.7602676323849606,Benjamin Parker,0.7602676323849606
Network Tech,Daniel Kim,0.9188537628169798,Catherine Kim,0.836182344493119,Leo Evans,0.7906416098657733,Benjamin Parker,0.7906416098657733,Nicholas Hill,0.7906416098657733,Isaac Rivera,0.7884004962363694,Aiden Wong,0.7884004962363693,Ian Lee,0.7802743146408706,Eva Flores,0.7802743146408706,Mia Allen,0.7692729177072389
Modular Inte,Alyssa Nguyen,0.8535950651895693,Isaac Rivera,0.8535950651895693,Lila Harper,0.8231095271470849,Ethan Mitchell,0.8231095271470849,Milo Baker,0.8231095271470849,Oscar Green,0.8231095271470849,William Park,0.7926239891046002,Liam Turner,0.7744366781896393,Daniel Kim,0.7634786364088966,Ryan Lee,0.7634786364088966
Native Inte,Bella Martinez,0.8862587350511957,Eliana Scott,0.8862587350511957,Avery Wong,0.8257228238447704,Leo Evans,0.812403840463596,Benjamin Parker,0.812403840463596,Mia Allen,0.8124038404635959,Olivia Phillips,0.7945521577046601,Eva Flores,0.7640931774583409,Jane Smith,0.7431505414602934,Grace Kim,0.7431505414602934
Build Inte,Daniel Kim,0.8995411674440508,Aiden Wong,0.8380979995685076,Catherine Kim,0.8380979995685076,Benjamin Parker,0.8138705800684268,Leo Evans,0.8138705800684268,Oscar Green,0.79020668530745,Ian Lee,0.7820618870057752,Eva Flores,0.7820618870057752,Nicholas Hill,0.7710352863806149,Mia Allen,0.7710352863806148
Margin Inte,Bella Martinez,0.8964214570007952,Eliana Scott,0.8964214570007952,Avery Wong,0.8685990362153791,Mia Allen,0.8366600265340755,Jane Smith,0.8017837257372732,Stella Nguyen,0.8017837257372732,Leo Evans,0.7768985960673558,Benjamin Parker,0.7768985960673558,Olivia Phillips,0.7715167498104596,Eva Flores,0.7637626158259734
Follow Inte,Grace Kim,0.933642108716589,Jessica Lee,0.8732424069267538,Madison Morris,0.7842593713219348,Luna Edwards,0.776215472823781,Leah Campbell,0.7469136869732712,Ethan Perez,0.7438731614561236,Ashley Wong,0.7438731614561236,Lucy Turner,0.7438731614561236,Gemma Thomas,0.7438731614561235,Andrew Chen,0.7115308500884661
Techlytical,Lucas Tan,0.8889342392059455,Jonathan Chen,0.848528137423857,Linda Wang,0.848528137423857,Danielle Lee,0.8357448101873574,Ryan Lee,0.8283250865328128,Brian Kim,0.8283250865328128,Sophie Ng,0.7905694150420949,John Doe,0.7905694150420949,Isaac Rivera,0.7905694150420949,Eva Flores,0.7745966692414835
Generate Inte,Mia Allen,0.8749645215134638,Eliana Scott,0.8749645215134638,Eva Flores,0.8692058236096384,Jane Smith,0.8056094727078105,Erica Li,0.797761769615217,Sofia Davis,0.797761769615217,Emily Chen,0.797761769615217,Daniel Kim,0.797761769615217,Adam Lee,0.797761769615217,Bella Martinez,0.797761769615217
Giga Inte,Daniel Kim,0.85823175386454,Ian Lee,0.8236319887825656,Benjamin Parker,0.8142198690509739,Leo Evans,0.8142198690509739,Mia Allen,0.8142198690509739,Avery Lee,0.8119119216534528,Olivia Ng,0.8119119216534528,Ethan Zhang,0.8119119216534528,Michael Kim,0.8119119216534528,Aiden Wong,0.8119119216534528
Rank Inte,Lila Harper,0.8616404368553292,Ethan Mitchell,0.8616404368553292,Oscar Green,0.8616404368553291,Milo Baker,0.8616404368553291,Alyssa Nguyen,0.8000946913656628,Isaac Rivera,0.8000946913656628,William Park,0.8000946913656628,Liam Turner,0.7817359599705718,Leo Evans,0.7706746355884524,Benjamin Parker,0.7706746355884524
Techtastic,Daniel Kim,0.924634790038475,Catherine Kim,0.85398649245344,Aiden Wong,0.8315131637046653,Isaac Rivera,0.8090398349558906,Oscar Green,0.8090398349558906,Eva Flores,0.8073734277593313,Benjamin Parker,0.8040302522073697,Leo Evans,0.8040302522073697,Nicholas Hill,0.7839294959021854,Eliana Scott,0.7638287395970013
Excel Inte,Mia Allen,0.8647889466100895,Bella Martinez,0.8647889466100894,Eliana Scott,0.8647889466100894,Olivia Phillips,0.7923106466721819,Eva Flores,0.7894406892324616,Leo Evans,0.7810996937123389,Benjamin Parker,0.7810996937123389,Stella Nguyen,0.7797285769397567,Avery Wong,0.7797285769397567,Jane Smith,0.7797285769397567
Advantage Inte,Oscar Green,0.8555277382080453,Isaac Rivera,0.8555277382080453,Ethan Mitchell,0.8238415256818212,Alyssa Nguyen,0.8238415256818212,Milo Baker,0.8238415256818212,Lila Harper,0.8238415256818212,Liam Turner,0.8049379065910627,Mason Perez,0.7921553131555974,Daniel Kim,0.7652072717079333,William Park,0.7604691006293735
Illuminate Inte,Daniel Kim,0.9145044603282144,Catherine Kim,0.8728206690941788,Benjamin Parker,0.847589499816394,Leo Evans,0.847589499816394,Nicholas Hill,0.8252845129791205,Ian Lee,0.8144629623753682,Aiden Wong,0.7980074688861064,Oscar Green,0.7730697354834155,Isaac Rivera,0.7730697354834155,Eliana Scott,0.7583695524672999
Techorama,Grace Kim,0.933642108716589,Jessica Lee,0.8732424069267538,Madison Morris,0.7842593713219348,Luna Edwards,0.776215472823781,Leah Campbell,0.7469136869732712,Ethan Perez,0.7438731614561236,Ashley Wong,0.7438731614561236,Lucy Turner,0.7438731614561236,Gemma Thomas,0.7438731614561235,Andrew Chen,0.7115308500884661
Rubicon Tech,Oscar Green,0.8478501284163322,William Park,0.8478501284163322,Milo Baker,0.8478501284163322,Isaac Rivera,0.8195884574691211,Alyssa Nguyen,0.8195884574691211,Lila Harper,0.763065115574699,Ethan Mitchell,0.763065115574699,Lucas Tan,0.758340208748338,Mason Perez,0.7348034446274879,Ryan Lee,0.7330622017900601
Chroma Inte,Lila Harper,0.8616404368553292,Ethan Mitchell,0.8616404368553292,Oscar Green,0.8616404368553291,Milo Baker,0.8616404368553291,Alyssa Nguyen,0.8000946913656628,Isaac Rivera,0.8000946913656628,William Park,0.8000946913656628,Liam Turner,0.7817359599705718,Leo Evans,0.7706746355884524,Benjamin Parker,0.7706746355884524
Engine Inte,Daniel Kim,0.8995411674440508,Aiden Wong,0.8380979995685076,Catherine Kim,0.8380979995685076,Benjamin Parker,0.8138705800684268,Leo Evans,0.8138705800684268,Oscar Green,0.79020668530745,Ian Lee,0.7820618870057752,Eva Flores,0.7820618870057752,Nicholas Hill,0.7710352863806149,Mia Allen,0.7710352863806148
Internetwind,Daniel Kim,0.9204783184453795,Catherine Kim,0.8461703044307444,Aiden Wong,0.8233008367434269,Eva Flores,0.8029322134962665,Oscar Green,0.8004313690561095,Isaac Rivera,0.8004313690561095,Benjamin Parker,0.7977478759859956,Leo Evans,0.7977478759859956,Nicholas Hill,0.777292802242765,Mia Allen,0.7568377284995343
Gbooo Org,Grace Kim,0.933642108716589,Jessica Lee,0.8732424069267538,Madison Morris,0.7842593713219348,Luna Edwards,0.776215472823781,Leah Campbell,0.7469136869732712,Ethan Perez,0.7438731614561236,Ashley Wong,0.7438731614561236,Lucy Turner,0.7438731614561236,Gemma Thomas,0.7438731614561235,Andrew Chen,0.7115308500884661
Bit Inte,John Doe,0.9308360200392611,Sophie Ng,0.9308360200392611,Lucas Tan,0.8775685627222987,Oscar Green,0.8302050989539356,Jonathan Chen,0.7875615306482168,Linda Wang,0.7875615306482168,Danielle Lee,0.7547319081399415,Luna Edwards,0.7547319081399415,Sophia Zhang,0.7295741778686101,Sarah Chen,0.7295741778686101
Internetlia,Jane Smith,0.9494253265550828,Eliana Scott,0.9288035617599817,Mia Allen,0.9022663171382681,Leo Evans,0.7961173386514129,Benjamin Parker,0.7961173386514129,Avery Wong,0.7714080778260047,Nathan Cox,0.7537075808102849,Bella Martinez,0.7430428494079854,Stella Nguyen,0.7417385363711584,Ian Lee,0.7267523746672641
Post Inte,Daniel Kim,0.9088697519690188,Leo Evans,0.842367087190798,Benjamin Parker,0.842367087190798,Catherine Kim,0.817874635209406,Ian Lee,0.8094446585163529,Eliana Scott,0.7980319773386507,Mia Allen,0.7980319773386507,Nicholas Hill,0.7758644224125771,Isaac Rivera,0.7683064754997451,Alyssa Nguyen,0.7683064754997451
Intellect Inte,Eva Flores,0.8154571195503022,Ian Lee,0.8154571195503022,Charlotte Wright,0.7497242919866683,Ryan Lee,0.7497242919866683,Nicholas Hill,0.7497242919866683,Brian Kim,0.7497242919866683,Lucas Tan,0.7497242919866683,Logan Rodriguez,0.7497242919866683,Leo Evans,0.7497242919866681,Erica Li,0.7497242919866681
Pirate Tech,Bella Martinez,0.8964214570007952,Eliana Scott,0.8964214570007952,Avery Wong,0.8685990362153791,Mia Allen,0.8366600265340755,Jane Smith,0.8017837257372732,Stella Nguyen,0.8017837257372732,Leo Evans,0.7768985960673558,Benjamin Parker,0.7768985960673558,Olivia Phillips,0.7715167498104596,Eva Flores,0.7637626158259734
Void Tech,Daniel Kim,0.9099883613178743,Aiden Wong,0.8436958338752909,Catherine Kim,0.8436958338752909,Benjamin Parker,0.8212090089941794,Leo Evans,0.8212090089941794,Nicholas Hill,0.7768193328323317,Ian Lee,0.7699188535494527,Eva Flores,0.7699188535494526,Oscar Green,0.769252083827471,Isaac Rivera,0.769252083827471
Check Inte,Milo Baker,0.9162708326722891,William Park,0.9162708326722891,Maxwell Clark,0.8551861104941366,Avery Lee,0.8246437494050602,Michael Kim,0.8246437494050602,Ethan Zhang,0.8246437494050602,Justin Wu,0.8246437494050602,Olivia Ng,0.8246437494050602,Ian Lee,0.7730697354834155,Logan Rodriguez,0.7649017105914142
Zone Inte,Eva Flores,0.7820618870057751,Emily Chen,0.7710352863806148,Sofia Davis,0.7710352863806148,Adam Lee,0.7710352863806148,Daniel Kim,0.7710352863806148,Erica Li,0.7710352863806148,Ryan Lee,0.7710352863806147,Brian Kim,0.7710352863806147,Ivy Rodriguez,0.7662610281769211,Ian Lee,0.7429587926554863
Anime Tech,Stella Nguyen,0.887213950734269,Olivia Ng,0.8555277382080453,Justin Wu,0.8555277382080453,Ethan Zhang,0.8555277382080453,Michael Kim,0.8555277382080453,Avery Lee,0.8555277382080453,Mia Allen,0.8218892918344469,Bella Martinez,0.8218892918344468,Logan Rodriguez,0.7935482817711901,Ian Lee,0.7502788415161218
Techaro,Eva Flores,0.9190631849175853,Erica Li,0.8923760858147374,Adam Lee,0.8923760858147374,Emily Chen,0.8923760858147374,Sofia Davis,0.8923760858147374,Ivy Rodriguez,0.8697956671643066,Charlotte Wright,0.8008503334234823,Jonathan Chen,0.7779688953256685,Linda Wang,0.7779688953256685,Mia Allen,0.7779688953256685
Techooze,Milo Baker,0.8981004187394178,William Park,0.8660254037844387,Alyssa Nguyen,0.8660254037844387,Ethan Mitchell,0.8339503888294595,Lila Harper,0.8339503888294595,Maxwell Clark,0.8018753738744803,Ian Lee,0.7856742013183863,Ryan Lee,0.7745966692414834,Brian Kim,0.7745966692414834,Leo Evans,0.745907903714021
